CASE_LBL,Brazil,India,Japan,Korea__South,US,United_Kingdom,Vietnam
1/22/2020,0,0,2,1,1,0,0
1/23/2020,0,0,2,1,1,0,2
1/24/2020,0,0,2,2,2,0,2
1/25/2020,0,0,2,2,2,0,2
1/26/2020,0,0,4,3,5,0,2
1/27/2020,0,0,4,4,5,0,2
1/28/2020,0,0,7,4,5,0,2
1/29/2020,0,0,7,4,6,0,2
1/30/2020,0,1,11,4,6,0,2
1/31/2020,0,1,15,11,8,2,2
2/1/2020,0,1,20,12,8,2,6
2/2/2020,0,2,20,15,8,2,6
2/3/2020,0,3,20,15,11,8,8
2/4/2020,0,3,22,16,11,8,8
2/5/2020,0,3,23,19,11,9,8
2/6/2020,0,3,23,23,12,9,10
2/7/2020,0,3,23,24,12,9,10
2/8/2020,0,3,24,24,12,13,13
2/9/2020,0,3,24,25,12,14,13
2/10/2020,0,3,26,27,12,14,14
2/11/2020,0,3,27,28,13,15,15
2/12/2020,0,3,28,28,13,16,15
2/13/2020,0,3,33,28,14,17,16
2/14/2020,0,3,43,28,14,18,16
2/15/2020,0,3,54,28,14,18,16
2/16/2020,0,3,60,29,14,18,16
2/17/2020,0,3,67,30,14,19,16
2/18/2020,0,3,79,31,14,19,16
2/19/2020,0,3,85,31,14,20,16
2/20/2020,0,3,95,104,14,22,16
2/21/2020,0,3,112,204,16,23,16
2/22/2020,0,3,137,433,16,23,16
2/23/2020,0,3,149,602,16,28,16
2/24/2020,0,3,160,833,16,30,16
2/25/2020,0,3,173,977,16,34,16
2/26/2020,1,3,192,1261,16,37,16
2/27/2020,1,3,218,1766,17,44,16
2/28/2020,1,3,236,2337,17,56,16
2/29/2020,2,3,245,3150,25,61,16
3/1/2020,2,3,259,3736,32,94,16
3/2/2020,2,5,278,4335,55,134,16
3/3/2020,2,5,298,5186,74,189,16
3/4/2020,4,28,333,5621,107,245,16
3/5/2020,4,30,365,6088,184,294,16
3/6/2020,13,31,420,6593,237,373,16
3/7/2020,13,34,466,7041,403,428,18
3/8/2020,20,39,499,7314,519,482,30
3/9/2020,25,43,527,7478,594,629,30
3/10/2020,31,56,585,7513,782,887,31
3/11/2020,38,62,640,7755,1147,1298,38
3/12/2020,52,73,696,7869,1586,1787,39
3/13/2020,151,82,733,7979,2219,2266,47
3/14/2020,151,102,795,8086,2978,2630,53
3/15/2020,162,113,826,8162,3212,3072,56
3/16/2020,200,119,843,8236,4679,3684,61
3/17/2020,321,142,893,8320,6512,4452,66
3/18/2020,372,156,928,8413,9169,5451,75
3/19/2020,621,194,968,8565,13663,6506,85
3/20/2020,793,244,1022,8652,20030,7760,91
3/21/2020,1021,330,1059,8799,26025,8957,94
3/22/2020,1546,396,1104,8961,34898,10333,113
3/23/2020,1924,499,1144,8961,46136,12668,123
3/24/2020,2247,536,1217,9037,56755,15039,134
3/25/2020,2554,657,1314,9137,68837,17732,141
3/26/2020,2985,727,1416,9241,86693,20816,153
3/27/2020,3417,887,1530,9332,105383,24017,163
3/28/2020,3904,987,1728,9478,125013,26839,174
3/29/2020,4256,1024,1907,9583,143912,29696,188
3/30/2020,4579,1251,2001,9661,165987,33969,203
3/31/2020,5717,1397,2255,9786,192301,38484,212
4/1/2020,6836,1998,2535,9887,224587,43398,218
4/2/2020,8044,2543,2818,9976,256809,48263,233
4/3/2020,9056,2567,3154,10062,289116,53178,237
4/4/2020,10360,3082,3525,10156,321502,57198,240
4/5/2020,11130,3588,3876,10237,351397,60792,241
4/6/2020,12161,4778,4110,10284,382787,66067,245
4/7/2020,14034,5311,4485,10331,413566,71517,249
4/8/2020,16170,5916,5020,10384,444801,76646,251
4/9/2020,18092,6725,5614,10423,480743,81498,255
4/10/2020,19638,7598,6250,10450,515146,85813,257
4/11/2020,20727,8446,6951,10480,544229,89390,258
4/12/2020,22192,9205,7473,10512,571485,92885,262
4/13/2020,23430,10453,7773,10537,598424,97068,265
4/14/2020,25262,11487,8277,10564,627242,101393,266
4/15/2020,28320,12322,8835,10591,652650,106458,267
4/16/2020,30425,13430,9398,10613,682652,111756,268
4/17/2020,33682,14352,9958,10635,715718,116721,268
4/18/2020,36658,15722,10548,10653,743625,121437,268
4/19/2020,38654,17615,10914,10661,769687,125289,268
4/20/2020,40743,18539,11258,10674,799507,130147,268
4/21/2020,43079,20080,11641,10683,825433,134907,268
4/22/2020,45757,21370,12037,10694,854344,140397,268
4/23/2020,50036,23077,12469,10708,887956,145540,268
4/24/2020,54043,24530,12854,10718,920283,150513,270
4/25/2020,59324,26283,13186,10728,950663,154261,270
4/26/2020,63100,27890,13405,10738,977151,157729,270
4/27/2020,67446,29451,13576,10752,1000866,162431,270
4/28/2020,73235,31324,13860,10761,1025441,167152,270
4/29/2020,79685,33062,14076,10765,1051900,172587,270
4/30/2020,87187,34863,14284,10774,1081105,177543,270
5/1/2020,92202,37257,14558,10780,1116012,182270,270
5/2/2020,97100,39699,14861,10793,1143360,185491,270
5/3/2020,101826,42505,15061,10801,1167681,188465,271
5/4/2020,108620,46437,15229,10804,1191749,191843,271
5/5/2020,115455,49400,15354,10806,1216277,195527,271
5/6/2020,126611,52987,15455,10810,1240846,199358,271
5/7/2020,135773,56351,15553,10822,1268275,203125,288
5/8/2020,146894,59695,15640,10840,1295105,206174,288
5/9/2020,156061,62808,15755,10874,1320281,208324,288
5/10/2020,162699,67161,15824,10909,1339086,210645,288
5/11/2020,169594,70768,15861,10936,1358384,214228,288
5/12/2020,178214,74292,15948,10962,1381311,217617,288
5/13/2020,190137,78055,15998,10991,1401744,220915,288
5/14/2020,203165,81997,16096,11018,1428561,223524,312
5/15/2020,220291,85784,16148,11037,1453294,226041,314
5/16/2020,233511,90648,16202,11050,1477429,228106,318
5/17/2020,241080,95698,16226,11065,1495817,229932,320
5/18/2020,255368,100328,16259,11078,1518206,232506,324
5/19/2020,271885,106475,16287,11110,1539185,235547,324
5/20/2020,291579,112028,16321,11122,1561910,238253,324
5/21/2020,310087,118226,16362,11142,1587679,240795,324
5/22/2020,330890,124794,16385,11165,1611328,242825,324
5/23/2020,347398,131423,16410,11190,1632427,244332,325
5/24/2020,363211,138536,16451,11206,1652504,245680,325
5/25/2020,374898,144950,16472,11225,1671166,247287,326
5/26/2020,391222,150793,16502,11265,1690829,248937,327
5/27/2020,411821,158086,16528,11344,1709380,250739,327
5/28/2020,438238,165386,16598,11402,1731700,252473,327
5/29/2020,465166,173491,16673,11441,1756178,253977,328
5/30/2020,498440,181827,16716,11468,1779810,255076,328
5/31/2020,514849,190609,16751,11503,1798793,256145,328
6/1/2020,526447,198370,16787,11541,1816207,257579,328
6/2/2020,555383,207191,16837,11590,1837709,259046,328
6/3/2020,584016,216824,16867,11629,1857566,260388,328
6/4/2020,614941,226713,16911,11668,1879224,261622,328
6/5/2020,645771,236184,16958,11719,1904627,262727,328
6/6/2020,672846,246622,17000,11776,1925769,263518,329
6/7/2020,691758,257486,17039,11814,1943697,264235,331
6/8/2020,707412,265928,17060,11852,1961313,265321,332
6/9/2020,739503,276146,17111,11902,1979696,266474,332
6/10/2020,772416,286605,17146,11947,2000807,267656,332
6/11/2020,802828,297535,17187,12003,2023973,268657,332
6/12/2020,828810,308993,17250,12051,2048801,269710,333
6/13/2020,850514,320922,17293,12085,2074013,270597,334
6/14/2020,867624,332424,17369,12121,2092954,271404,334
6/15/2020,888271,343091,17439,12155,2112781,272430,334
6/16/2020,923189,354065,17484,12198,2136448,273507,334
6/17/2020,955377,366946,17530,12257,2163520,274504,335
6/18/2020,978142,380532,17588,12306,2192057,275524,342
6/19/2020,1032913,395048,17658,12373,2223601,276504,349
6/20/2020,1067579,410451,17725,12421,2255881,277170,349
6/21/2020,1083341,425282,17780,12438,2281031,277792,349
6/22/2020,1106470,440215,17820,12484,2313175,278684,349
6/23/2020,1145906,456183,17879,12535,2350247,279566,349
6/24/2020,1188631,473105,17963,12563,2386125,280340,352
6/25/2020,1228114,490401,18055,12602,2426451,281037,352
6/26/2020,1274974,508953,18162,12653,2472450,281675,353
6/27/2020,1313667,528859,18254,12715,2513780,282308,355
6/28/2020,1344143,548318,18366,12757,2554514,282703,355
6/29/2020,1368195,566840,18476,12800,2595813,283307,355
6/30/2020,1402041,585481,18615,12850,2642233,283710,355
7/1/2020,1448753,604641,18838,12904,2694053,283770,355
7/2/2020,1496858,625544,19055,12967,2750689,283774,355
7/3/2020,1539081,648315,19185,13030,2802040,284276,355
7/4/2020,1577004,673165,19461,13091,2847733,284900,355
7/5/2020,1603055,697413,19668,13137,2898480,285416,355
7/6/2020,1623284,719664,19848,13181,2941586,285768,369
7/7/2020,1668589,742417,20055,13244,3002247,286349,369
7/8/2020,1713160,767296,20261,13293,3062366,286979,369
7/9/2020,1755779,793802,20617,13338,3124875,287621,369
7/10/2020,1800827,820916,21044,13373,3192932,288133,370
7/11/2020,1839850,849522,21430,13417,3252949,288953,370
7/12/2020,1864681,878254,21841,13479,3311373,289603,372
7/13/2020,1884967,906752,22125,13512,3370303,290133,373
7/14/2020,1926824,936181,22437,13551,3438354,291373,373
7/15/2020,1966748,968857,23172,13612,3506444,291911,381
7/16/2020,2012151,1003832,23510,13672,3582310,292552,381
7/17/2020,2046328,1039084,24104,13711,3654546,293239,382
7/18/2020,2074860,1077781,24946,13745,3717082,294066,382
7/19/2020,2098389,1118206,25446,13771,3777538,294792,383
7/20/2020,2118646,1155338,25706,13816,3839645,295372,384
7/21/2020,2159654,1193078,26463,13879,3904106,295817,401
7/22/2020,2227514,1238798,27136,13938,3974685,296377,408
7/23/2020,2287475,1288108,28114,13979,4043130,297146,412
7/24/2020,2343366,1337024,28883,14092,4116449,297914,415
7/25/2020,2394513,1385635,29684,14150,4181402,298681,417
7/26/2020,2419091,1435616,30548,14175,4236218,299426,420
7/27/2020,2442375,1480073,31142,14203,4293001,300111,431
7/28/2020,2483191,1531669,32116,14251,4359413,300658,446
7/29/2020,2552265,1581963,33382,14269,4431286,301455,459
7/30/2020,2610102,1634746,35144,14305,4498752,302301,509
7/31/2020,2662485,1695988,36234,14336,4567464,303181,558
8/1/2020,2707877,1750723,37804,14366,4623665,303942,590
8/2/2020,2733677,1803695,39116,14389,4669233,304685,621
8/3/2020,2750318,1855745,40099,14423,4714734,305623,652
8/4/2020,2801921,1908254,41347,14456,4773508,306293,672
8/5/2020,2859073,1964536,42686,14499,4827974,307184,717
8/6/2020,2912212,2027074,44167,14519,4887323,308134,750
8/7/2020,2962442,2088611,45764,14562,4946626,309005,789
8/8/2020,3012412,2153010,47342,14598,5000760,309763,812
8/9/2020,3035422,2215074,48782,14626,5046529,310825,841
8/10/2020,3057470,2268675,49617,14660,5094135,311641,847
8/11/2020,3109630,2329638,50302,14714,5142138,312789,866
8/12/2020,3164785,2396637,51288,14770,5198178,313798,883
8/13/2020,3224876,2461190,52471,14873,5249494,314927,911
8/14/2020,3275520,2525922,53818,15039,5314830,316367,930
8/15/2020,3317096,2589952,55051,15318,5361781,317379,951
8/16/2020,3340197,2647663,56074,15515,5400993,318484,964
8/17/2020,3359570,2702681,56717,15761,5437645,319197,983
8/18/2020,3407354,2767253,57636,16058,5482678,320286,989
8/19/2020,3456652,2836925,58728,16346,5529998,321098,994
8/20/2020,3501975,2905825,59900,16670,5574039,322280,1007
8/21/2020,3532330,2975701,60949,17002,5622882,323313,1009
8/22/2020,3582362,3044940,61916,17399,5665946,324601,1014
8/23/2020,3605783,3106348,62658,17665,5700193,325642,1016
8/24/2020,3622861,3167323,63158,17945,5736675,326614,1022
8/25/2020,3669995,3224547,63888,18265,5777029,327798,1029
8/26/2020,3717156,3310234,64779,18706,5822201,328846,1034
8/27/2020,3761391,3387500,65653,19077,5867594,330368,1036
8/28/2020,3804803,3463972,66499,19400,5914426,331644,1038
8/29/2020,3846153,3542733,67353,19699,5957180,332752,1040
8/30/2020,3862311,3621245,67958,19947,5991584,334467,1040
8/31/2020,3908272,3691166,68396,20182,6026946,335873,1044
9/1/2020,3950931,3769523,69023,20449,6068792,337168,1044
9/2/2020,3997865,3853406,69619,20644,6109810,338676,1046
9/3/2020,4041638,3936747,70278,20842,6154061,340411,1046
9/4/2020,4091801,4023179,70866,21010,6204443,342351,1049
9/5/2020,4123000,4113811,71467,21177,6247601,344164,1049
9/6/2020,4137521,4204613,71918,21296,6278819,347152,1049
9/7/2020,4147794,4280422,72213,21432,6302432,350100,1049
9/8/2020,4162073,4370128,72724,21588,6329658,352560,1054
9/9/2020,4197889,4465863,73264,21743,6363707,355219,1059
9/10/2020,4238446,4562414,73916,21919,6399763,358138,1059
9/11/2020,4282164,4659984,74558,22055,6447532,361677,1060
9/12/2020,4315687,4754356,75206,22176,6488633,365174,1060
9/13/2020,4330455,4846427,75646,22285,6523005,368504,1063
9/14/2020,4345610,4930236,75914,22391,6557428,371125,1063
9/15/2020,4382263,5020359,76446,22504,6596920,374228,1063
9/16/2020,4419083,5118253,76997,22657,6635950,378219,1063
9/17/2020,4455386,5214677,77488,22783,6681080,381614,1066
9/18/2020,4495183,5308014,78061,22893,6730362,385936,1068
9/19/2020,4528240,5400619,78662,22975,6772564,390358,1068
9/20/2020,4544629,5487580,79142,23045,6811011,394257,1068
9/21/2020,4558040,5562663,79462,23106,6862889,398625,1068
9/22/2020,4591364,5646010,79773,23216,6902755,403551,1068
9/23/2020,4591364,5732518,80009,23341,6941824,409729,1069
9/24/2020,4657702,5818570,80490,23455,6988927,416363,1069
9/25/2020,4689613,5903932,81054,23516,7037222,423236,1069
9/26/2020,4717991,5992532,81703,23611,7081895,429277,1069
9/27/2020,4732309,6074702,82186,23661,7119423,434969,1074
9/28/2020,4745464,6145291,82484,23699,7152717,439013,1077
9/29/2020,4777522,6225763,83022,23812,7196055,446156,1094
9/30/2020,4810935,6312584,83591,23889,7235498,453264,1094
10/1/2020,4847092,6394068,84244,23952,7281148,460178,1095
10/2/2020,4847092,6473544,84768,24027,7336098,467146,1096
10/3/2020,4906833,6549373,85345,24091,7384675,480017,1096
10/4/2020,4915289,6623815,85746,24164,7420413,502978,1096
10/5/2020,4927235,6685082,86027,24239,7459789,515571,1097
10/6/2020,4969141,6757131,86540,24353,7505078,530113,1098
10/7/2020,5000694,6835655,87039,24422,7556134,544275,1099
10/8/2020,5028444,6906151,87679,24476,7614733,561815,1100
10/9/2020,5055888,6979423,88267,24548,7671117,575679,1105
10/10/2020,5082637,7053806,88962,24606,7726070,590844,1107
10/11/2020,5094979,7120538,89400,24703,7772051,603716,1109
10/12/2020,5103408,7175880,89652,24805,7813825,617688,1110
10/13/2020,5113628,7239389,90153,24889,7866056,634920,1113
10/14/2020,5140863,7307097,90694,24988,7925834,654644,1122
10/15/2020,5169386,7370468,91402,25035,7990714,673622,1124
10/16/2020,5200300,7432680,92044,25108,8059861,689257,1124
10/17/2020,5224362,7494551,92670,25199,8116620,705428,1126
10/18/2020,5224362,7550273,93098,25275,8165987,722409,1134
10/19/2020,5250727,7597063,93408,25333,8233704,741212,1140
10/20/2020,5273954,7651107,93895,25424,8295660,762542,1141
10/21/2020,5298772,7706946,94515,25543,8358961,789229,1144
10/22/2020,5323630,7761312,95134,25698,8435271,810467,1148
10/23/2020,5353656,7814682,95868,25775,8517204,830998,1148
10/24/2020,5380635,7864811,96599,25836,8599971,854010,1160
10/25/2020,5394128,7909959,97095,25955,8662175,873800,1168
10/26/2020,5409854,7946429,97503,26043,8729485,894690,1169
10/27/2020,5439641,7990322,98146,26146,8806323,917575,1172
10/28/2020,5468270,8040203,98877,26271,8885749,942275,1173
10/29/2020,5494376,8088851,99674,26385,8976768,965340,1177
10/30/2020,5516658,8137119,100450,26511,9076032,989745,1177
10/31/2020,5535605,8184082,101327,26635,9165786,1011660,1180
11/1/2020,5545705,8229313,101943,26732,9270686,1034914,1180
11/2/2020,5554206,8267623,102431,26807,9355897,1053864,1192
