Date,Confirmed,Deaths,Recovered,Active
2020-07-01,18838,976,16563,1299
2020-07-02,19055,977,16615,1463
2020-07-03,19185,977,16721,1487
2020-07-04,19461,977,16832,1652
2020-07-05,19668,977,16870,1821
2020-07-06,19848,978,17007,1863
2020-07-07,20055,981,17057,2017
2020-07-08,20261,982,17057,2222
2020-07-09,20617,982,17412,2223
2020-07-10,21044,982,17494,2568
2020-07-11,21430,982,17494,2954
2020-07-12,21841,983,17845,3013
2020-07-13,22125,984,18058,3083
2020-07-14,22437,984,18126,3327
2020-07-15,23172,984,18126,4062
2020-07-16,23510,985,18641,3884
2020-07-17,24104,985,18944,4175
2020-07-18,24946,986,19211,4749
2020-07-19,25446,986,19211,5249
2020-07-20,25706,988,19603,5115
2020-07-21,26463,988,20001,5474
2020-07-22,27136,990,20482,5664
2020-07-23,28114,992,20878,6244
2020-07-24,28883,994,21173,6716
2020-07-25,29684,996,21464,7224
2020-07-26,30548,998,21606,7944
2020-07-27,31142,998,21970,8174
2020-07-28,32116,1001,22636,8479
2020-07-29,33382,1001,23351,9030
2020-07-30,35144,1007,24024,10113
2020-07-31,36234,1008,24774,10452
2020-08-01,37804,1012,25347,11445
2020-08-02,39116,1013,25748,12355
2020-08-03,40099,1018,26476,12605
2020-08-04,41347,1023,27187,13137
2020-08-05,42686,1028,28020,13638
2020-08-06,44167,1034,28858,14275
2020-08-07,45764,1042,30241,14481
2020-08-08,47342,1042,31248,15052
2020-08-09,48782,1047,32867,14868
2020-08-10,49617,1052,33450,15115
2020-08-11,50302,1058,34136,15108
2020-08-12,51288,1066,34969,15253
2020-08-13,52471,1073,36191,15207
2020-08-14,53818,1080,35498,17240
2020-08-15,55051,1093,39439,14519
2020-08-16,56074,1103,40560,14411
2020-08-17,56717,1112,41591,14014
2020-08-18,57636,1135,42965,13536
2020-08-19,58728,1148,43786,13794
2020-08-20,59900,1157,45110,13633
2020-08-21,60949,1175,46264,13510
2020-08-22,61916,1179,47418,13319
2020-08-23,62658,1188,48319,13151
2020-08-24,63158,1201,49089,12868
2020-08-25,63888,1219,50092,12577
2020-08-26,64779,1230,51407,12142
2020-08-27,65653,1241,52542,11870
2020-08-28,66499,1251,53691,11557
2020-08-29,67353,1271,54883,11199
2020-08-30,67958,1285,55700,10973
2020-08-31,68396,1298,56338,10760
2020-09-01,69023,1313,57503,10207
2020-09-02,69619,1327,58108,10184
2020-09-03,70278,1334,58200,10744
2020-09-04,70866,1352,60093,9421
2020-09-05,71467,1361,61099,9007
2020-09-06,71918,1366,61730,8822
2020-09-07,72213,1377,62190,8646
2020-09-08,72724,1398,62936,8390
2020-09-09,73264,1412,63734,8118
2020-09-10,73916,1416,64489,8011
2020-09-11,74558,1428,65244,7886
2020-09-12,75206,1441,65934,7831
2020-09-13,75646,1448,66524,7674
2020-09-14,75914,1455,66901,7558
2020-09-15,76446,1463,66901,8082
2020-09-16,76997,1481,68110,7406
2020-09-17,77488,1490,68827,7171
2020-09-18,78061,1500,69468,7093
2020-09-19,78662,1504,70051,7107
2020-09-20,79142,1508,70604,7030
2020-09-21,79462,1518,70970,6974
2020-09-22,79773,1519,71214,7040
2020-09-23,80009,1525,71547,6937
2020-09-24,80490,1540,72066,6884
2020-09-25,81054,1544,73016,6494
2020-09-26,81703,1547,73677,6479
2020-09-27,82186,1549,73677,6960
2020-09-28,82484,1561,74495,6428
2020-09-29,83022,1568,74962,6492
2020-09-30,83591,1575,75522,6494
2020-10-01,84244,1580,76081,6583
2020-10-02,84768,1591,76700,6477
2020-10-03,85345,1594,76700,7051
2020-10-04,85746,1598,77851,6297
2020-10-05,86027,1602,78071,6354
2020-10-06,86540,1609,78521,6410
2020-10-07,87039,1614,79123,6302
2020-10-08,87679,1617,79674,6388
2020-10-09,88267,1623,80140,6504
2020-10-10,88962,1626,80798,6538
2020-10-11,89400,1628,81266,6506
2020-10-12,89652,1631,81552,6469
2020-10-13,90153,1635,82063,6455
2020-10-14,90694,1646,82576,6472
2020-10-15,91402,1650,83272,6480
2020-10-16,92044,1664,83882,6498
2020-10-17,92670,1670,84461,6539
2020-10-18,93098,1672,84461,6965
2020-10-19,93408,1676,85310,6422
2020-10-20,93895,1679,85867,6349
2020-10-21,94515,1686,86429,6400
2020-10-22,95134,1697,87022,6415
2020-10-23,95868,1706,87600,6562
2020-10-24,96599,1710,88138,6751
2020-10-25,97095,1716,88610,6769
2020-10-26,97503,1721,89031,6751
2020-10-27,98146,1726,89465,6955
2020-10-28,98877,1731,90118,7028
2020-10-29,99674,1748,90624,7302
2020-10-30,100450,1756,91184,7510
2020-10-31,101327,1769,89765,9793
2020-11-01,101943,1776,92250,7917
2020-11-02,102431,1787,92673,7971
2020-11-03,103309,1794,93133,8382
2020-11-04,103928,1799,93564,8565
2020-11-05,104964,1806,94376,8782
2020-11-06,106136,1810,95010,9316
2020-11-07,107439,1815,95703,9921
2020-11-08,108394,1821,96430,10143
2020-11-09,109191,1834,96684,10673
2020-11-10,110487,1840,98487,10160
2020-11-11,112011,1847,98305,11859
2020-11-12,113655,1854,99282,12519
2020-11-13,115360,1864,100197,13299
2020-11-14,117113,1865,101162,14086
2020-11-15,118611,1874,91954,24783
2020-11-16,119557,1883,102810,14864
2020-11-17,121247,1895,103778,15574
2020-11-18,123477,1908,104837,16732
2020-11-19,125859,1920,106074,17865
2020-11-20,128285,1930,107521,18834
2020-11-21,130871,1932,108981,19958
2020-11-22,133034,1943,110273,20818
2020-11-23,134554,1949,111343,21262
2020-11-24,135786,1963,112385,21438
2020-11-25,137735,1983,114569,21183
2020-11-26,140225,1996,116222,22007
2020-11-27,142778,2028,117709,23041
2020-11-28,145457,2042,120103,23312
2020-11-29,147515,2057,121735,23723
2020-11-30,148962,2076,127289,19597
2020-12-01,150976,2109,125304,23563
2020-12-02,153432,2141,127148,24143
2020-12-03,155938,2174,129085,24679
2020-12-04,158387,2210,131020,25157
2020-12-05,160870,2229,133287,25354
2020-12-06,162917,2259,135121,25537
2020-12-07,164434,2299,136747,25388
2020-12-08,166592,2334,138838,25420
2020-12-09,169429,2376,140466,26587
2020-12-10,172406,2395,142850,27161
2020-12-11,175310,2446,144858,28006
2020-12-12,178272,2462,147368,28442
2020-12-13,180639,2481,149130,29028
2020-12-14,182311,2530,150791,28990
2020-12-15,184752,2581,153363,28808
2020-12-16,187751,2623,155391,29737
2020-12-17,190950,2661,158131,30158
2020-12-18,193753,2709,160630,30414
2020-12-19,196815,2749,163152,30914
2020-12-20,199270,2784,165177,31309
2020-12-21,201074,2833,167357,30884
2020-12-22,203732,2877,169186,31669
2020-12-23,207007,2941,171959,32107
2020-12-24,210769,2967,174723,33079
2020-12-25,214575,3016,177637,33922
2020-12-26,218467,3062,180032,35373
2020-12-27,221412,3100,182440,35872
2020-12-28,223786,3152,184506,36128
2020-12-29,227415,3196,186790,37429
2020-12-30,231271,3243,189310,38718
2020-12-31,235811,3292,191295,41224
2021-01-01,239068,3540,193558,41970
2021-01-02,242097,3571,196264,42262
2021-01-03,245293,3631,198330,43332
2021-01-04,248625,3679,200520,44426
2021-01-05,253571,3755,203265,46551
2021-01-06,259521,3820,206883,48818
2021-01-07,267084,3884,210295,52905
2021-01-08,274947,3962,213581,57404
2021-01-09,282737,4021,217213,61503
2021-01-10,288818,4066,220380,64372
2021-01-11,293746,4114,222807,66825
2021-01-12,298321,4178,225240,68903
2021-01-13,304140,4275,228917,70948
2021-01-14,310734,4341,233509,72884
2021-01-15,317871,4419,238311,75141
2021-01-16,324942,4475,243817,76650
2021-01-17,330715,4524,248332,77859
2021-01-18,335605,4582,252631,78392
2021-01-19,340989,4686,257563,78740
2021-01-20,346508,4778,264831,76899
2021-01-21,352129,4872,273031,74226
2021-01-22,357174,4980,279058,73136
2021-01-23,361928,5063,285366,71499
2021-01-24,365899,5119,290386,70394
2021-01-25,368684,5193,290386,73105
2021-01-26,372545,5297,301384,65864
2021-01-27,376482,5387,308008,63087
2021-01-28,380644,5500,314278,60866
2021-01-29,384180,5597,320092,58491
2021-01-30,387499,5688,325436,56375
2021-01-31,390166,5753,325436,58977
2021-02-01,391956,5833,333969,52154
2021-02-02,394269,5952,339221,49096
2021-02-03,396900,6068,343981,46851
2021-02-04,399492,6172,349176,44144
2021-02-05,401858,6278,354317,41263
2021-02-06,404128,6372,358716,39040
2021-02-07,405765,6424,362075,37266
2021-02-08,406992,6507,365082,35403
2021-02-09,408550,6602,368657,33291
2021-02-10,410434,6723,372379,31332
2021-02-11,412125,6800,375298,30027
2021-02-12,413441,6863,377868,28710
2021-02-13,414803,6928,380413,27462
2021-02-14,416154,6966,382730,26458
2021-02-15,417127,7038,384941,25148
2021-02-16,418435,7139,387584,23712
2021-02-17,419896,7218,391052,21626
2021-02-18,421421,7294,393338,20789
2021-02-19,422718,7360,395336,20022
2021-02-20,423952,7438,397137,19377
2021-02-21,424988,7485,398765,18738
2021-02-22,425725,7541,400094,18090
2021-02-23,426828,7595,401653,17580
2021-02-24,427732,7664,403225,16843
2021-02-25,428816,7738,405101,15977
2021-02-26,429873,7818,406428,15627
2021-02-27,431093,7859,407864,15370
2021-02-28,432090,7889,409163,15038
2021-03-01,432778,7940,410448,14390
2021-03-02,433700,8005,411959,13736
2021-03-03,434944,8068,413178,13698
2021-03-04,436093,8135,413178,14780
2021-03-05,437222,8190,415868,13164
2021-03-06,437634,8196,417136,12302
2021-03-07,439356,8255,418105,12996
2021-03-08,439977,8301,418105,13571
2021-03-09,441152,8359,420104,12689
2021-03-10,442411,8412,421265,12734
2021-03-11,443714,8457,422386,12871
2021-03-12,444977,8515,423463,12999
2021-03-13,446312,8566,424529,13217
2021-03-14,447287,8587,425507,13193
2021-03-15,448000,8625,425507,13868
2021-03-16,449142,8682,427426,13034
2021-03-17,450687,8718,428627,13342
2021-03-18,452147,8750,429742,13655
2021-03-19,453616,8783,430771,14062
2021-03-20,455212,8802,431972,14438
2021-03-21,456318,8821,431972,15525
2021-03-22,457104,8857,434118,14129
2021-03-23,458621,8908,435205,14508
2021-03-24,460595,8929,436307,15359
2021-03-25,462506,8956,437546,16004
2021-03-26,464483,8989,438723,16771
2021-03-27,466563,9021,438723,18819
2021-03-28,468346,9050,438723,20573
2021-03-29,469636,9079,442213,18344
2021-03-30,471777,9112,443484,19181
2021-03-31,474641,9155,444868,20618
2021-04-01,477239,9173,446260,21806
2021-04-02,479953,9191,447559,23203
2021-04-03,482704,9198,448935,24571
2021-04-04,485226,9210,450468,25548
2021-04-05,486792,9229,451999,25564
2021-04-06,489407,9251,453899,26257
2021-04-07,492860,9286,455226,28348
2021-04-08,496351,9311,456894,30146
2021-04-09,499831,9325,458684,31822
2021-04-10,503537,9352,458684,35501
2021-04-11,506237,9369,463569,33299
2021-04-12,508350,9393,465760,33197
2021-04-13,511799,9422,468614,33763
2021-04-14,517281,9471,470851,36959
2021-04-15,521796,9506,473414,38876
2021-04-16,526307,9552,475598,41157
2021-04-17,531109,9593,478222,43294
2021-04-18,535220,9610,480637,44973
2021-04-19,537494,9629,482896,44969
2021-04-20,542467,9682,485920,46865
2021-04-21,547836,9737,488788,49311
2021-04-22,553362,9778,491505,52079
2021-04-23,558376,9834,494726,53816
2021-04-24,563998,9890,498086,56022
2021-04-25,568621,9939,501453,57229
2021-04-26,571904,9968,504582,57354
2021-04-27,576870,10031,508232,58607
2021-04-28,580666,10052,508262,62352
2021-04-29,588580,10160,515404,63016
2021-04-30,593264,10199,518891,64174
2021-05-01,599253,10281,523071,65901
2021-05-02,605150,10342,527077,67731
2021-05-03,609625,10391,530913,68321
2021-05-04,613822,10441,534680,68701
2021-05-05,617890,10501,538790,68599
2021-05-06,622273,10566,542413,69294
2021-05-07,628319,10712,545886,71721
2021-05-08,635568,10796,551137,73635
2021-05-09,642146,10860,555245,76041
2021-05-10,647003,10931,559397,76675
2021-05-11,653363,11045,563972,78346
2021-05-12,660884,11148,568402,81334
2021-05-13,667251,11249,573757,82245
2021-05-14,673539,11330,579290,82919
2021-05-15,679870,11424,584614,83832
2021-05-16,685135,11471,589888,83776
2021-05-17,688873,11587,595021,82265
2021-05-18,694077,11803,602200,80074
2021-05-19,699931,11900,608930,79101
2021-05-20,705641,12006,615168,78467
2021-05-21,710895,12119,621452,77324
2021-05-22,715880,12203,628366,75311
2021-05-23,719925,12265,633947,73713
2021-05-24,722668,12351,639731,70586
2021-05-25,726586,12457,645001,69128
2021-05-26,731071,12573,649955,68543
2021-05-27,735234,12691,655066,67477
2021-05-28,738935,12786,659576,66573
2021-05-29,742539,12877,666786,62876
2021-05-30,745392,12926,671616,60850
2021-05-31,747188,13006,675721,58461